# i j cov
# order is xi+_0,xi+_1,...,xi-_0,xi-_1,.... from small scales to large in each
# tomo bins are in c order (i.e. 0,0 0,1 0,2 1,0 1,2 2,2) w/ internal order as above
6 35 1.06456523401561319956e-12
6 36 -3.26274451801778896379e-11
6 37 7.35099237830316252845e-12
6 38 -6.39255108002611265042e-12
6 39 -1.96213885557848070702e-12
6 40 -7.64470628805053264619e-13
6 41 -4.57806494276298350516e-13
6 42 2.47835218481696880652e-11
6 43 -6.07155349209914632655e-12
6 44 3.16201174744931141069e-12
6 45 8.67556620965224272077e-13
6 46 -9.09334537426050252935e-13
6 47 3.39937176058114857329e-13
6 48 1.18342069157789865113e-12
6 49 -8.23749586975232745034e-12
6 50 1.48929796158852730049e-12
6 51 -1.67354158827142353337e-12
6 52 4.73049068667659134291e-13
6 53 -6.66266475632509160670e-13
6 54 1.05351012430203462473e-11
6 55 -4.30041972459143316942e-12
6 56 -1.96265065891691723158e-12
6 57 1.18474239908207494347e-14
6 58 1.96804195948408982843e-13
6 59 2.34847061676360880254e-13
6 60 -1.54153266783083391609e-11
6 61 1.63518503528427166828e-11
6 62 2.03162173734716987379e-12
6 63 1.44180467795711116397e-12
6 64 -7.60473321681601284249e-13
6 65 -5.91486206080435010399e-13
6 66 -5.95502750333024297154e-12
6 67 1.25598410294522197891e-11
6 68 2.01681710756200420417e-12
6 69 2.14310448983334745469e-12
6 70 1.30583110852164367977e-12
6 71 8.15370215153849869828e-13
7 0 1.53237488497736426641e-11
7 1 6.59397818958756425809e-12
7 2 9.03469213210485174857e-13
7 3 6.70607479858415604610e-13
7 4 1.01883951925210938905e-12
7 5 1.91471209271837524081e-13
7 6 1.18002561465626556546e-11
7 7 5.17698594335394876774e-11
7 8 -6.49442835671402680130e-13
7 9 2.10193074396773019026e-12
7 10 -1.70637259461520851566e-13
7 11 4.49100144766752856621e-13
7 12 8.18024033746391392366e-12
7 13 1.39997234877643819892e-12
7 14 2.71152388177537698110e-12
7 15 2.25081477746883601085e-13
7 16 3.15988684020563303300e-13
7 17 9.93682957366185424724e-14
7 18 9.85913650294392078753e-12
7 19 7.12242047010438579755e-13
7 20 2.53298421275370532631e-12
7 21 6.69860540253620385469e-13
7 22 4.23935431892255697355e-14
7 23 1.58398318962530184946e-13
7 24 3.60417567245310526370e-12
7 25 9.95568342528055862267e-12
7 26 2.47461876511723934679e-12
7 27 1.69607173410928413494e-12
7 28 1.15091765102029857228e-12
7 29 3.65189975355401646552e-15
7 30 1.44499994992738005872e-11
7 31 2.35599820179483110289e-12
7 32 2.93807513463130891625e-12
7 33 1.21367308381622766279e-12
7 34 4.65804660662039335668e-14
7 35 8.57031404539554413084e-13
7 36 1.08492386823959324918e-11
7 37 -8.49037391793496288822e-12
7 38 -1.32002463082073941869e-12
7 39 1.21716321094905500367e-12
7 40 8.73402019613944255458e-13
7 41 3.52739484081385036747e-13
7 42 -5.47281701699919245864e-12
7 43 -3.06125331529893160467e-12
7 44 -2.80044678946885738493e-13
7 45 1.40087918225743587599e-13
7 46 -3.81568427559780490103e-13
7 47 5.62057848376075768558e-14
7 48 7.99016764982083272743e-13
7 49 -1.27005809053230786001e-12
7 50 1.90697888074307730488e-13
7 51 7.75834251231864355352e-13
7 52 1.42334490577431508338e-12
7 53 1.34684806722183825079e-13
7 54 1.05689254861643772549e-11
7 55 1.48320443639962170269e-12
7 56 -5.81715402693990474821e-13
7 57 1.12649300127839399952e-12
7 58 -1.47209017110756959473e-13
7 59 2.31513997743367356002e-13
7 60 -1.21759554778679296587e-11
7 61 5.05079655410484246477e-12
7 62 3.63068178999356570024e-12
7 63 1.75910900403291866453e-12
7 64 1.79072252974962393327e-12
7 65 -1.67266337180115069543e-13
7 66 -2.49689344041902684075e-11
7 67 2.02271456587917071252e-12
7 68 1.77173157270616521899e-12
7 69 7.34985452160952582789e-13
7 70 -5.73977970464659261257e-13
7 71 7.80403530574271397253e-13
8 0 1.70484577707301209076e-12
8 1 -1.26111950333675964855e-12
8 2 8.35591138976705359076e-14
8 3 5.40101327967162539244e-13
8 4 3.33539149900163808105e-13
8 5 3.77813837744263548595e-14
8 6 1.93572107878233501939e-12
8 7 -6.49442835671402680130e-13
